회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
侯짱뚱어, 145, 812, 27813915, 223225, 810, 318566, 99377758, 474309, 49971, 2541821, 32610, 사예, 전룡제후
巛연개소문, 42, 282, 27783980, 375237, 810, 0, 157167539, 1336563, 48007, 107949, 35072, 사예, 질주
羊수학, 10, 91, 27646906, 408485, 0, 0, 201138285, 2026533, 49918, 701443, 34520, 사예, 영농조합
지누농부, 52, 331, 27307766, 428571, 1217, 0, 147828497, 1184110, 48305, 621237, 33860, 사예, 영농조합
에그맨, 123, 690, 27043056, 291163, 5272, 0, 145167445, 632352, 63424, 506425, 22693, 서촉, 하마
巛아카, 176, 972, 27033314, 104732, 0, 2316134, 126946844, 341750, 23060, 2917132, 29090, 사예, 질주
너혼자레벨업, 146, 816, 26824306, 213438, 4917, 0, 98446196, 491741, 49391, 568112, 24196, 서촉, 하마
땡벌농부, 91, 528, 26668060, 325906, 1357, 0, 129881669, 880758, 37020, 285139, 28660, 사예, 영농조합
一갓스무디, 121, 684, 26364729, 210605, 353, 1798909, 102684363, 633312, 61734, 6230957, 29910, 사예, 그룹 없음
희안사, 78, 459, 26118272, 368529, 3148, 391583, 159720861, 976491, 67000, 957628, 34176, 사예, 주점
酒정뱅이, 55, 347, 25710088, 326413, 827, 0, 137865301, 1092029, 63754, 124346, 32400, 사예, 주점
無限동백, 35, 246, 25652995, 396524, 888, 1903620, 144299990, 1394104, 54528, 2975527, 32950, 사예, 무한
골뱅이조조, 135, 757, 25495108, 191298, 11297, 0, 107772310, 561014, 51631, 126730, 30930, 서촉, 하마
友조르바, 126, 694, 25305298, 220504, 748, 0, 95011019, 620642, 53828, 441460, 23330, 사예, 그룹 없음
탱구, 151, 832, 25005769, 183574, 751, 0, 157052425, 496158, 15078, 355009, 26430, 서촉, 하마
RZ무리안, 64, 397, 24969808, 457748, 6205, 0, 151618531, 1085083, 23993, 253607, 14833, 서촉, 하마
라스웰, 134, 755, 24793074, 194464, 14161, 0, 108288825, 576418, 51921, 144705, 20646, 서촉, 하마
無限스티브, 156, 868, 24581568, 181142, 183, 0, 114271061, 407073, 39121, 3667021, 35640, 사예, 무한
때찌얌, 108, 622, 24333620, 293645, 1300, 0, 134968738, 704224, 58381, 1288621, 31763, 사예, 영농조합
