회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
제망량, 76, 544, 766518, 3671, 0, 0, 58517007, 121896, 20388, 182059, 21590, 양양, 인연別
땡벌농부, 152, 843, 759657, 8918, 0, 0, 58590463, 53605, 15378, 0, 21930, 양양, 그룹 없음
킹핀느ㆍ, 3, 81, 746250, 14930, 0, 0, 94532932, 324436, 34396, 124175, 27240, 양양, 그룹 없음
呂두령, 92, 605, 745641, 5625, 0, 0, 57955633, 98507, 17750, 419022, 18870, 양양, 그룹 없음
삽질장인농부, 71, 536, 732315, 4592, 0, 0, 69263284, 109700, 21159, 228297, 22860, 양양, 그룹 없음
SP용랑, 37, 378, 702462, 0, 0, 0, 54989735, 145669, 25957, 190150, 21750, 양양, 그룹 없음
비루스, 141, 801, 699960, 13031, 0, 0, 45247743, 54926, 17278, 167792, 24250, 양양, 그룹 없음
锋와직염, 179, 977, 680619, 0, 350, 0, 37374566, 18877, 24966, 862232, 15950, 강동, 그룹 없음
緣미남, 155, 851, 678352, 13527, 0, 229345, 63234646, 43386, 14940, 433593, 21860, 양양, 인연別
新가르나초선, 17, 249, 669849, 14065, 0, 0, 83598948, 183521, 22355, 168164, 26400, 양양, 신의악단
緣열하, 41, 395, 662952, 0, 0, 0, 63846057, 157686, 26941, 209469, 20040, 양양, 인연別
킹넬ㆍ, 82, 571, 605205, 1826, 0, 0, 37042507, 124383, 11311, 256662, 17450, 양양, 그룹 없음
無限호암, 172, 915, 594444, 0, 0, 0, 38034771, 43796, 17225, 108521, 21600, 양양, 그룹 없음
후니농부, 162, 887, 593316, 0, 0, 0, 37686292, 31784, 24164, 85099, 22600, 양양, 그룹 없음
新진빔레몬, 187, 1033, 591810, 1063, 0, 0, 43957965, 12449, 20947, 122641, 21110, 양양, 신의악단
朝우의정, 116, 702, 568095, 0, 0, 0, 63452054, 69703, 18519, 138950, 23360, 양양, 그룹 없음
緣지니차차, 102, 645, 562284, 4278, 0, 0, 60426242, 75069, 34262, 441399, 23030, 양양, 인연別
武이른새벽, 182, 1010, 547691, 0, 0, 552195, 30702387, 13217, 20624, 1870967, 13410, 양양, 그룹 없음
킹아아ㆍ, 2, 71, 538791, 10778, 0, 0, 101378451, 332998, 27579, 101110, 27170, 양양, 그룹 없음
無帝곰탈여우, 157, 853, 538716, 0, 0, 0, 47337312, 32409, 30391, 143150, 24550, 양양, 그룹 없음
휴우먼농부, 178, 971, 523512, 1528, 0, 0, 34956370, 33922, 11199, 0, 20963, 양양, 그룹 없음
活새로, 42, 396, 512820, 1901, 0, 0, 63659313, 117795, 37980, 272356, 20260, 양양, 신의악단
緣황후펭귄, 67, 500, 484932, 0, 0, 0, 54159331, 108562, 20956, 352260, 21360, 양양, 인연別
때찌얌, 140, 796, 484575, 1020, 0, 0, 41582210, 46234, 29333, 406787, 23670, 양양, 그룹 없음
侯똘망이, 165, 894, 478146, 0, 0, 0, 56146543, 54399, 7739, 122463, 22850, 양양, 그룹 없음
아련한농부, 126, 734, 473274, 6564, 0, 0, 65570060, 77393, 15891, 267538, 23710, 양양, 그룹 없음
우마왕, 43, 397, 470415, 9411, 350, 0, 87915818, 143324, 28708, 414524, 25790, 양양, 그룹 없음
新기네스, 170, 907, 469947, 0, 0, 0, 41234201, 22758, 23569, 446801, 17910, 양양, 신의악단
無限뮤라, 30, 341, 459603, 6751, 0, 0, 68305492, 171296, 22921, 256505, 27840, 양양, 그룹 없음
無限아귀, 177, 949, 434928, 2449, 0, 0, 41004686, 43413, 7922, 22429, 14223, 양양, 그룹 없음
锋도사, 58, 464, 429457, 5240, 0, 0, 63477999, 150283, 16296, 177104, 27660, 양양, 그룹 없음
神곰탈여우, 114, 694, 428850, 0, 0, 0, 49266439, 69436, 28365, 346699, 24260, 양양, 그룹 없음
緣유혹의한영, 66, 497, 428784, 0, 0, 0, 56773746, 86998, 39972, 282626, 22240, 양양, 인연別
ST자방, 151, 840, 427731, 2967, 0, 0, 35036585, 58101, 10963, 0, 19900, 양양, 그룹 없음
꾸러기온리, 5, 126, 420138, 5195, 350, 0, 112014521, 326094, 21641, 278231, 28080, 양양, 인연別
지누농부, 53, 448, 410088, 7964, 0, 0, 58624844, 110293, 25739, 267447, 22980, 양양, 그룹 없음
新시아, 87, 586, 405147, 2447, 0, 0, 61137493, 96053, 29503, 198936, 22870, 양양, 신의악단
侯낙양유치원, 95, 625, 386484, 1536, 0, 0, 51680983, 104056, 15982, 0, 22250, 양양, 그룹 없음
캔나, 173, 922, 351122, 7024, 0, 0, 48571822, 31196, 18366, 0, 19183, 양양, 인연別
锋청하, 133, 749, 342996, 0, 0, 0, 47331153, 61785, 23877, 384816, 22610, 양양, 그룹 없음
緣히데자판기, 65, 495, 338238, 3100, 0, 0, 62602430, 131952, 19849, 269631, 22320, 양양, 인연別
锋신, 94, 611, 320127, 1612, 0, 0, 64105640, 105968, 17387, 24632, 25990, 양양, 그룹 없음
농부테스형, 192, 1111, 318414, 0, 0, 0, 31409024, 12444, 9849, 0, 18700, 양양, 그룹 없음
軍주노, 137, 784, 265014, 5302, 0, 0, 47411794, 47016, 23758, 380087, 19370, 양양, 그룹 없음
鋒현, 112, 686, 264135, 5284, 0, 0, 61099887, 60560, 24737, 62494, 20770, 양양, 그룹 없음
新캡틴Q, 52, 446, 252144, 5295, 1085, 0, 67102788, 102758, 50641, 226103, 22220, 양양, 신의악단
初한라산, 185, 1024, 172860, 0, 0, 0, 39371237, 20918, 13123, 0, 17180, 양양, 신의악단
锋침, 20, 295, 166836, 3504, 0, 0, 69088236, 166845, 27534, 323348, 21993, 양양, 그룹 없음
달료라농부, 129, 742, 154686, 0, 0, 0, 51129617, 60281, 25444, 263627, 22500, 양양, 그룹 없음
锋궁, 115, 696, 152427, 3050, 0, 0, 62220290, 81171, 12627, 52416, 21760, 양양, 그룹 없음
锋투, 44, 403, 138399, 0, 0, 0, 74679544, 147293, 21980, 292389, 29180, 양양, 그룹 없음
新소곡주, 154, 845, 130770, 2746, 0, 0, 63646113, 53230, 15303, 186651, 21230, 양양, 신의악단
無限쿠이나, 150, 829, 125844, 2517, 0, 0, 51813087, 43740, 18809, 257298, 18890, 양양, 그룹 없음
無限거지왕초, 167, 897, 91131, 1916, 0, 0, 20990693, 44356, 14720, 102137, 14700, 양양, 그룹 없음
